ID,HR,Label
838,101,Abnormal
839,101,Abnormal
840,101,Abnormal
841,101,Abnormal
842,101,Abnormal
843,101,Abnormal
844,101,Abnormal
845,100,Abnormal
846,100,Abnormal
847,100,Abnormal
848,100,Abnormal
849,100,Abnormal
850,100,Abnormal
851,100,Abnormal
852,100,Abnormal
853,100,Abnormal
854,100,Abnormal
855,100,Abnormal
856,98,Normal
857,98,Normal
858,98,Normal
859,98,Normal
860,98,Normal
861,97,Normal
862,97,Normal
863,97,Normal
864,97,Normal
865,97,Normal
866,96,Normal
867,96,Normal
868,96,Normal
869,96,Normal
870,96,Normal
871,95,Normal
872,95,Normal
873,95,Normal
874,95,Normal
875,95,Normal
876,95,Normal
877,95,Normal
878,95,Normal
879,95,Normal
880,95,Normal
881,95,Normal
882,95,Normal
883,95,Normal
884,95,Normal
885,95,Normal
886,95,Normal
887,95,Normal
888,95,Normal
889,95,Normal
890,95,Normal
891,95,Normal
892,95,Normal
893,95,Normal
894,95,Normal
895,95,Normal
896,95,Normal
897,95,Normal
898,95,Normal
899,95,Normal
900,95,Normal
901,95,Normal
902,95,Normal
903,95,Normal
904,95,Normal
905,95,Normal
906,95,Normal
907,95,Normal
908,95,Normal
909,95,Normal
910,95,Normal
911,96,Normal
912,96,Normal
913,96,Normal
914,96,Normal
915,96,Normal
916,96,Normal
917,96,Normal
918,96,Normal
919,96,Normal
920,96,Normal
921,96,Normal
922,96,Normal
923,96,Normal
924,96,Normal
925,96,Normal
926,96,Normal
927,96,Normal
928,96,Normal
929,96,Normal
930,97,Normal
931,97,Normal
932,97,Normal
933,97,Normal
934,97,Normal
935,98,Normal
936,98,Normal
937,98,Normal
938,98,Normal
939,98,Normal
940,99,Normal
941,99,Normal
942,99,Normal
943,99,Normal
944,99,Normal
945,100,Abnormal
946,100,Abnormal
947,100,Abnormal
948,100,Abnormal
949,100,Abnormal
950,100,Abnormal
951,100,Abnormal
952,100,Abnormal
953,100,Abnormal
954,100,Abnormal
955,100,Abnormal
956,100,Abnormal
957,100,Abnormal
958,100,Abnormal
959,101,Abnormal
960,101,Abnormal
961,101,Abnormal
962,101,Abnormal
963,101,Abnormal
964,101,Abnormal
965,101,Abnormal
966,101,Abnormal
967,101,Abnormal
968,101,Abnormal
969,102,Abnormal
970,102,Abnormal
971,102,Abnormal
972,102,Abnormal
973,102,Abnormal
974,102,Abnormal
975,102,Abnormal
976,102,Abnormal
977,102,Abnormal
978,102,Abnormal
979,103,Abnormal
980,103,Abnormal
981,103,Abnormal
982,103,Abnormal
983,103,Abnormal
984,103,Abnormal
985,103,Abnormal
986,103,Abnormal
987,103,Abnormal
988,103,Abnormal
989,103,Abnormal
990,103,Abnormal
991,103,Abnormal
992,103,Abnormal
993,103,Abnormal
994,103,Abnormal
995,103,Abnormal
996,103,Abnormal
997,103,Abnormal
998,103,Abnormal
999,103,Abnormal
1000,103,Abnormal
1001,103,Abnormal
1002,103,Abnormal
1003,103,Abnormal
1004,103,Abnormal
1005,103,Abnormal
1006,103,Abnormal
1007,103,Abnormal
1008,103,Abnormal
1009,103,Abnormal
1010,103,Abnormal
1011,103,Abnormal
1012,103,Abnormal
1013,103,Abnormal
1014,103,Abnormal
1015,103,Abnormal
1016,103,Abnormal
1017,103,Abnormal
1018,103,Abnormal
1019,103,Abnormal
1020,103,Abnormal
1021,103,Abnormal
1022,103,Abnormal
1023,103,Abnormal
1024,103,Abnormal
1025,103,Abnormal
1026,103,Abnormal
1027,103,Abnormal
1028,103,Abnormal
1029,103,Abnormal
1030,103,Abnormal
1031,103,Abnormal
1032,103,Abnormal
1033,103,Abnormal
1034,103,Abnormal
1035,103,Abnormal
1036,103,Abnormal
1037,103,Abnormal
1038,104,Abnormal
1039,104,Abnormal
1040,104,Abnormal
1041,104,Abnormal
1042,104,Abnormal
1043,104,Abnormal
1044,104,Abnormal
1045,104,Abnormal
1046,104,Abnormal
1047,104,Abnormal
1048,104,Abnormal
1049,104,Abnormal
1050,104,Abnormal
1051,104,Abnormal
1052,104,Abnormal
1053,104,Abnormal
1054,104,Abnormal
1055,104,Abnormal
1056,104,Abnormal
1057,104,Abnormal
1058,104,Abnormal
1059,104,Abnormal
1060,104,Abnormal
1061,104,Abnormal
1062,104,Abnormal
1063,105,Abnormal
1064,105,Abnormal
1065,105,Abnormal
1066,105,Abnormal
1067,105,Abnormal
1068,105,Abnormal
1069,105,Abnormal
1070,105,Abnormal
1071,105,Abnormal
1072,105,Abnormal
1073,105,Abnormal
1074,105,Abnormal
1075,105,Abnormal
1076,105,Abnormal
1077,105,Abnormal
1078,105,Abnormal
1079,105,Abnormal
1080,105,Abnormal
1081,105,Abnormal
1082,105,Abnormal
1083,105,Abnormal
1084,105,Abnormal
1085,105,Abnormal
1086,105,Abnormal
1087,105,Abnormal
1088,105,Abnormal
1089,105,Abnormal
1090,105,Abnormal
1091,105,Abnormal
1092,105,Abnormal
1093,105,Abnormal
1094,105,Abnormal
1095,105,Abnormal
1096,105,Abnormal
1097,105,Abnormal
1098,105,Abnormal
1099,105,Abnormal
1100,105,Abnormal
1101,105,Abnormal
1102,105,Abnormal
1103,105,Abnormal
1104,105,Abnormal
1105,105,Abnormal
1106,105,Abnormal
1107,105,Abnormal
1108,105,Abnormal
1109,105,Abnormal
1110,105,Abnormal
1111,105,Abnormal
1112,105,Abnormal
1113,104,Abnormal
1114,104,Abnormal
1115,104,Abnormal
1116,104,Abnormal
1117,104,Abnormal
1118,103,Abnormal
1119,103,Abnormal
1120,103,Abnormal
1121,103,Abnormal
1122,103,Abnormal
1123,103,Abnormal
1124,103,Abnormal
1125,103,Abnormal
1126,103,Abnormal
1127,103,Abnormal
1128,102,Abnormal
1129,102,Abnormal
1130,102,Abnormal
1131,102,Abnormal
1132,102,Abnormal
1133,102,Abnormal
1134,102,Abnormal
1135,102,Abnormal
1136,102,Abnormal
1137,102,Abnormal
1138,102,Abnormal
1139,102,Abnormal
1140,102,Abnormal
1141,102,Abnormal
1142,102,Abnormal
1143,102,Abnormal
1144,102,Abnormal
1145,102,Abnormal
1146,102,Abnormal
1147,102,Abnormal
1148,102,Abnormal
1149,102,Abnormal
1150,102,Abnormal
1151,102,Abnormal
1152,102,Abnormal
1153,102,Abnormal
1154,101,Abnormal
1155,101,Abnormal
1156,101,Abnormal
1157,101,Abnormal
1158,101,Abnormal
1159,101,Abnormal
